thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture,person
"(0, 0, 0)","(-0.746846, 0.453971, 0.485934)","(-0.735697, 0.486993, 0.47073)","(-0.722006, 0.523, 0.452967)","(-0.939672, 0.323874, 0.110097)","(-0.505041, 0.566439, 0.651215)","(0.331479, 0.549192, 0.767144)","(0.759917, 0.333362, 0.558029)","(-0.904484, 0.425762, 0.02522)","(-0.897199, 0.431415, -0.0944247)","(-0.69934, 0.615519, 0.363401)","(-0.381091, 0.637032, 0.670044)","(-0.845186, 0.530366, -0.0661226)","(-0.896871, 0.325174, -0.299809)","(-0.839767, 0.525747, 0.135576)","(-0.626463, 0.601769, 0.495396)","(-0.783025, 0.594965, -0.181351)","(-0.683497, 0.442419, -0.5806)","(-0.747289, 0.637067, -0.188956)","(-0.677613, 0.706657, 0.203658)",pinch,louis
"(0, 0, 0)","(-0.762769, 0.450196, 0.464227)","(-0.750895, 0.483322, 0.450062)","(-0.736089, 0.520124, 0.433179)","(-0.941427, 0.327744, 0.0793657)","(-0.526723, 0.558657, 0.640675)","(0.304722, 0.534352, 0.788424)","(0.73975, 0.319325, 0.592285)","(-0.90244, 0.430809, -0.00237396)","(-0.89088, 0.437761, -0.121239)","(-0.708979, 0.613363, 0.348044)","(-0.401339, 0.627497, 0.667215)","(-0.839099, 0.536549, -0.0896019)","(-0.882482, 0.335997, -0.329136)","(-0.841061, 0.529235, 0.111928)","(-0.64098, 0.59784, 0.481385)","(-0.772196, 0.602668, -0.201257)","(-0.661656, 0.467947, -0.585865)","(-0.733621, 0.652226, -0.190792)","(-0.674484, 0.709749, 0.203292)",pinch,louis
"(0, 0, 0)","(-0.774722, 0.439353, 0.454725)","(-0.762975, 0.470941, 0.442814)","(-0.747384, 0.508525, 0.427574)","(-0.939466, 0.337421, 0.0595773)","(-0.540116, 0.546566, 0.639953)","(0.286158, 0.507223, 0.812919)","(0.72466, 0.292232, 0.624074)","(-0.896687, 0.442305, -0.0178376)","(-0.88204, 0.450905, -0.13671)","(-0.712805, 0.611135, 0.344127)","(-0.414151, 0.612162, 0.6736)","(-0.829363, 0.549707, -0.0998975)","(-0.865889, 0.35822, -0.349162)","(-0.836616, 0.53874, 0.09916)","(-0.64741, 0.593846, 0.477711)","(-0.758183, 0.618172, -0.207417)","(-0.639589, 0.499004, -0.584739)","(-0.718737, 0.670224, -0.184979)","(-0.668902, 0.712674, 0.211342)",pinch,louis
"(0, 0, 0)","(-0.782598, 0.427883, 0.452169)","(-0.770305, 0.460241, 0.44137)","(-0.75249, 0.502113, 0.426195)","(-0.936711, 0.346652, 0.0490467)","(-0.54799, 0.535248, 0.642819)","(0.274611, 0.48146, 0.832337)","(0.714949, 0.266137, 0.646543)","(-0.891125, 0.453093, -0.0245445)","(-0.875186, 0.461436, -0.145349)","(-0.714955, 0.60806, 0.345111)","(-0.421859, 0.597214, 0.682181)","(-0.820874, 0.561892, -0.102193)","(-0.851424, 0.381103, -0.360332)","(-0.830342, 0.54945, 0.0929314)","(-0.649639, 0.59175, 0.477285)","(-0.746658, 0.632418, -0.206272)","(-0.622841, 0.527115, -0.578116)","(-0.706179, 0.686465, -0.173429)","(-0.662088, 0.714961, 0.224656)",pinch,louis
"(0, 0, 0)","(-0.79629, 0.411156, 0.443703)","(-0.782673, 0.445865, 0.434313)","(-0.762379, 0.491835, 0.420567)","(-0.934193, 0.35545, 0.0306402)","(-0.566287, 0.513873, 0.644402)","(0.249998, 0.441986, 0.861481)","(0.695333, 0.228531, 0.681385)","(-0.884877, 0.464382, -0.0366309)","(-0.866146, 0.472668, -0.162409)","(-0.723866, 0.59899, 0.342386)","(-0.441366, 0.571345, 0.691926)","(-0.810742, 0.575546, -0.106975)","(-0.829782, 0.412969, -0.375392)","(-0.822997, 0.561647, 0.0850181)","(-0.656497, 0.58415, 0.477263)","(-0.732095, 0.649555, -0.205218)","(-0.59742, 0.56361, -0.570468)","(-0.691179, 0.704308, -0.16193)","(-0.659694, 0.71327, 0.23675)",pinch,louis
"(0, 0, 0)","(-0.805271, 0.399996, 0.437654)","(-0.789842, 0.437794, 0.429519)","(-0.768254, 0.484742, 0.418104)","(-0.930108, 0.366861, 0.0176319)","(-0.580487, 0.495128, 0.646438)","(0.230401, 0.402778, 0.885825)","(0.67955, 0.189206, 0.708811)","(-0.877416, 0.477743, -0.043625)","(-0.856069, 0.486763, -0.173805)","(-0.728793, 0.592723, 0.342842)","(-0.45536, 0.547574, 0.702005)","(-0.799797, 0.590634, -0.107127)","(-0.810007, 0.443913, -0.383184)","(-0.814789, 0.573722, 0.0834383)","(-0.659847, 0.576892, 0.481454)","(-0.717301, 0.667477, -0.199885)","(-0.57485, 0.601659, -0.554575)","(-0.675532, 0.723554, -0.141866)","(-0.653337, 0.712516, 0.255876)",pinch,louis
"(0, 0, 0)","(-0.818229, 0.385024, 0.426916)","(-0.800928, 0.426274, 0.42048)","(-0.778077, 0.474489, 0.411652)","(-0.926379, 0.376591, 0.000839552)","(-0.600392, 0.474548, 0.643688)","(0.203871, 0.362701, 0.909332)","(0.658931, 0.149649, 0.737167)","(-0.870449, 0.489304, -0.0538546)","(-0.845235, 0.499455, -0.190058)","(-0.737567, 0.584992, 0.337311)","(-0.476437, 0.522833, 0.706862)","(-0.78951, 0.603828, -0.109845)","(-0.789215, 0.472645, -0.392105)","(-0.808671, 0.582921, 0.0790784)","(-0.668022, 0.566987, 0.481946)","(-0.703039, 0.683496, -0.19639)","(-0.553068, 0.638073, -0.535704)","(-0.662832, 0.739424, -0.117921)","(-0.650415, 0.706539, 0.278859)",pinch,louis
"(0, 0, 0)","(-0.843453, 0.35844, 0.400135)","(-0.82436, 0.40224, 0.398287)","(-0.801241, 0.449244, 0.395211)","(-0.914414, 0.403476, -0.0324626)","(-0.635321, 0.443822, 0.631973)","(0.149514, 0.287258, 0.946112)","(0.613316, 0.0712562, 0.786617)","(-0.852005, 0.518209, -0.0744752)","(-0.817475, 0.532932, -0.218445)","(-0.748844, 0.579181, 0.322152)","(-0.516006, 0.483601, 0.707013)","(-0.76452, 0.634084, -0.115959)","(-0.74626, 0.52767, -0.405784)","(-0.795072, 0.602635, 0.0685017)","(-0.684269, 0.552344, 0.476123)","(-0.670281, 0.717335, -0.190142)","(-0.501003, 0.696514, -0.513677)","(-0.63514, 0.766791, -0.092891)","(-0.647784, 0.699542, 0.30169)",pinch,louis
"(0, 0, 0)","(-0.857485, 0.342968, 0.383527)","(-0.836141, 0.390585, 0.385112)","(-0.8111, 0.439765, 0.385646)","(-0.906364, 0.41976, -0.0480124)","(-0.66004, 0.420575, 0.622466)","(0.112652, 0.233415, 0.96583)","(0.584096, 0.015658, 0.811534)","(-0.840605, 0.535548, -0.0810668)","(-0.799998, 0.55399, -0.230433)","(-0.756624, 0.57237, 0.316092)","(-0.541702, 0.453436, 0.707782)","(-0.7498, 0.652031, -0.112497)","(-0.718737, 0.563823, -0.406843)","(-0.786425, 0.613969, 0.0676532)","(-0.694501, 0.539807, 0.475685)","(-0.65134, 0.737599, -0.178057)","(-0.476305, 0.733448, -0.484962)","(-0.624684, 0.778415, -0.0619633)","(-0.650454, 0.684999, 0.328156)",pinch,louis
"(0, 0, 0)","(-0.864782, 0.364903, 0.34496)","(-0.840068, 0.414131, 0.350402)","(-0.812437, 0.462657, 0.354817)","(-0.882374, 0.462962, -0.084152)","(-0.686366, 0.424704, 0.590363)","(0.0585002, 0.185708, 0.980862)","(0.535337, -0.0507272, 0.843114)","(-0.809675, 0.576936, -0.107569)","(-0.759237, 0.597308, -0.258421)","(-0.752309, 0.591305, 0.290498)","(-0.568799, 0.446592, 0.690668)","(-0.712078, 0.690374, -0.127783)","(-0.664376, 0.616386, -0.422696)","(-0.759755, 0.648422, 0.048186)","(-0.697826, 0.551763, 0.456724)","(-0.606008, 0.77412, -0.183009)","(-0.418104, 0.776365, -0.471642)","(-0.590289, 0.805526, -0.0518327)","(-0.641454, 0.691158, 0.332924)",pinch,louis
